
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
1,,Filament,118.000,1,100000001,
1,,Filament,119.000,1,100000001,
1,,Filament,120.000,1,100000001,
1,,Filament,121.000,1,100000001,
1,,Filament,122.000,1,100000001,
1,,Filament,123.000,1,100000001,
1,,Filament,124.000,1,100000001,
1,,Filament,125.000,1,100000001,
0,,Filament,126.000,1,100000001,
0,,Filament,0.000,1,100000002,
10,,Filament,1.000,1,100000002,
10,,Filament,2.000,1,100000002,
10,,Filament,3.000,1,100000002,
14,,Filament,4.000,1,100000002,
17,,Filament,5.000,1,100000002,
16,,Filament,6.000,1,100000002,
13,,Filament,7.000,1,100000002,
13,,Filament,8.000,1,100000002,
12,,Filament,9.000,1,100000002,
13,,Filament,10.000,1,100000002,
13,,Filament,11.000,1,100000002,
12,,Filament,12.000,1,100000002,
11,,Filament,13.000,1,100000002,
11,,Filament,14.000,1,100000002,
10,,Filament,15.000,1,100000002,
10,,Filament,16.000,1,100000002,
9,,Filament,17.000,1,100000002,
9,,Filament,18.000,1,100000002,
9,,Filament,19.000,1,100000002,
10,,Filament,20.000,1,100000002,
9,,Filament,21.000,1,100000002,
7,,Filament,22.000,1,100000002,
6,,Filament,23.000,1,100000002,
7,,Filament,24.000,1,100000002,
6,,Filament,25.000,1,100000002,
6,,Filament,26.000,1,100000002,
5,,Filament,27.000,1,100000002,
5,,Filament,28.000,1,100000002,
5,,Filament,29.000,1,100000002,
6,,Filament,30.000,1,100000002,
6,,Filament,31.000,1,100000002,
7,,Filament,32.000,1,100000002,
5,,Filament,33.000,1,100000002,
6,,Filament,34.000,1,100000002,
4,,Filament,35.000,1,100000002,
5,,Filament,36.000,1,100000002,
2,,Filament,37.000,1,100000002,
2,,Filament,38.000,1,100000002,
1,,Filament,39.000,1,100000002,
2,,Filament,40.000,1,100000002,
0,,Filament,41.000,1,100000002,
0,,Filament,0.000,1,100000003,
9,,Filament,1.000,1,100000003,
8,,Filament,2.000,1,100000003,
9,,Filament,3.000,1,100000003,
10,,Filament,4.000,1,100000003,
11,,Filament,5.000,1,100000003,
10,,Filament,6.000,1,100000003,
9,,Filament,7.000,1,100000003,
9,,Filament,8.000,1,100000003,
8,,Filament,9.000,1,100000003,
8,,Filament,10.000,1,100000003,
8,,Filament,11.000,1,100000003,
8,,Filament,12.000,1,100000003,
7,,Filament,13.000,1,100000003,
7,,Filament,14.000,1,100000003,
9,,Filament,15.000,1,100000003,
8,,Filament,16.000,1,100000003,
8,,Filament,17.000,1,100000003,
9,,Filament,18.000,1,100000003,
8,,Filament,19.000,1,100000003,
7,,Filament,20.000,1,100000003,
9,,Filament,21.000,1,100000003,
9,,Filament,22.000,1,100000003,
10,,Filament,23.000,1,100000003,
11,,Filament,24.000,1,100000003,
11,,Filament,25.000,1,100000003,
12,,Filament,26.000,1,100000003,
12,,Filament,27.000,1,100000003,
13,,Filament,28.000,1,100000003,
9,,Filament,29.000,1,100000003,
9,,Filament,30.000,1,100000003,
9,,Filament,31.000,1,100000003,
9,,Filament,32.000,1,100000003,
12,,Filament,33.000,1,100000003,
12,,Filament,34.000,1,100000003,
13,,Filament,35.000,1,100000003,
15,,Filament,36.000,1,100000003,
17,,Filament,37.000,1,100000003,
18,,Filament,38.000,1,100000003,
17,,Filament,39.000,1,100000003,
16,,Filament,40.000,1,100000003,
14,,Filament,41.000,1,100000003,
11,,Filament,42.000,1,100000003,
9,,Filament,43.000,1,100000003,
11,,Filament,44.000,1,100000003,
12,,Filament,45.000,1,100000003,
11,,Filament,46.000,1,100000003,
10,,Filament,47.000,1,100000003,
9,,Filament,48.000,1,100000003,
8,,Filament,49.000,1,100000003,
9,,Filament,50.000,1,100000003,
10,,Filament,51.000,1,100000003,
9,,Filament,52.000,1,100000003,
8,,Filament,53.000,1,100000003,
7,,Filament,54.000,1,100000003,
7,,Filament,55.000,1,100000003,
6,,Filament,56.000,1,100000003,
6,,Filament,57.000,1,100000003,
6,,Filament,58.000,1,100000003,
4,,Filament,59.000,1,100000003,
3,,Filament,60.000,1,100000003,
2,,Filament,61.000,1,100000003,
1,,Filament,62.000,1,100000003,
2,,Filament,63.000,1,100000003,
2,,Filament,64.000,1,100000003,
1,,Filament,65.000,1,100000003,
1,,Filament,66.000,1,100000003,
1,,Filament,67.000,1,100000003,
2,,Filament,68.000,1,100000003,
2,,Filament,69.000,1,100000003,
2,,Filament,70.000,1,100000003,
2,,Filament,71.000,1,100000003,
1,,Filament,72.000,1,100000003,
1,,Filament,73.000,1,100000003,
1,,Filament,74.000,1,100000003,
2,,Filament,75.000,1,100000003,
2,,Filament,76.000,1,100000003,
2,,Filament,77.000,1,100000003,
3,,Filament,78.000,1,100000003,
3,,Filament,79.000,1,100000003,
3,,Filament,80.000,1,100000003,
3,,Filament,81.000,1,100000003,
3,,Filament,82.000,1,100000003,
2,,Filament,83.000,1,100000003,
2,,Filament,84.000,1,100000003,
2,,Filament,85.000,1,100000003,
2,,Filament,86.000,1,100000003,
1,,Filament,87.000,1,100000003,
2,,Filament,88.000,1,100000003,
2,,Filament,89.000,1,100000003,
2,,Filament,90.000,1,100000003,
4,,Filament,91.000,1,100000003,
4,,Filament,92.000,1,100000003,
3,,Filament,93.000,1,100000003,
2,,Filament,94.000,1,100000003,
1,,Filament,95.000,1,100000003,
1,,Filament,96.000,1,100000003,
1,,Filament,97.000,1,100000003,
1,,Filament,98.000,1,100000003,
1,,Filament,99.000,1,100000003,
1,,Filament,100.000,1,100000003,
1,,Filament,101.000,1,100000003,
1,,Filament,102.000,1,100000003,
1,,Filament,103.000,1,100000003,
1,,Filament,104.000,1,100000003,
1,,Filament,105.000,1,100000003,
1,,Filament,106.000,1,100000003,
1,,Filament,107.000,1,100000003,
1,,Filament,108.000,1,100000003,
2,,Filament,109.000,1,100000003,
2,,Filament,110.000,1,100000003,
2,,Filament,111.000,1,100000003,
2,,Filament,112.000,1,100000003,
2,,Filament,113.000,1,100000003,
2,,Filament,114.000,1,100000003,
2,,Filament,115.000,1,100000003,
1,,Filament,116.000,1,100000003,
1,,Filament,117.000,1,100000003,
1,,Filament,118.000,1,100000003,
1,,Filament,119.000,1,100000003,
1,,Filament,120.000,1,100000003,
1,,Filament,121.000,1,100000003,
1,,Filament,122.000,1,100000003,
1,,Filament,123.000,1,100000003,
0,,Filament,124.000,1,100000003,
0,,Filament,0.000,1,100000004,
