
Filament No. Segment Branches
 ==================== 
Filament No. Segment Branches,Unit,Category,Distance,Time,ID,
15,,Filament,5.000,1,100000002,
18,,Filament,6.000,1,100000002,
20,,Filament,7.000,1,100000002,
19,,Filament,8.000,1,100000002,
19,,Filament,9.000,1,100000002,
21,,Filament,10.000,1,100000002,
19,,Filament,11.000,1,100000002,
21,,Filament,12.000,1,100000002,
18,,Filament,13.000,1,100000002,
16,,Filament,14.000,1,100000002,
14,,Filament,15.000,1,100000002,
14,,Filament,16.000,1,100000002,
13,,Filament,17.000,1,100000002,
15,,Filament,18.000,1,100000002,
15,,Filament,19.000,1,100000002,
16,,Filament,20.000,1,100000002,
14,,Filament,21.000,1,100000002,
14,,Filament,22.000,1,100000002,
12,,Filament,23.000,1,100000002,
8,,Filament,24.000,1,100000002,
7,,Filament,25.000,1,100000002,
8,,Filament,26.000,1,100000002,
8,,Filament,27.000,1,100000002,
6,,Filament,28.000,1,100000002,
5,,Filament,29.000,1,100000002,
5,,Filament,30.000,1,100000002,
5,,Filament,31.000,1,100000002,
5,,Filament,32.000,1,100000002,
6,,Filament,33.000,1,100000002,
5,,Filament,34.000,1,100000002,
5,,Filament,35.000,1,100000002,
5,,Filament,36.000,1,100000002,
7,,Filament,37.000,1,100000002,
9,,Filament,38.000,1,100000002,
7,,Filament,39.000,1,100000002,
5,,Filament,40.000,1,100000002,
5,,Filament,41.000,1,100000002,
5,,Filament,42.000,1,100000002,
5,,Filament,43.000,1,100000002,
5,,Filament,44.000,1,100000002,
5,,Filament,45.000,1,100000002,
4,,Filament,46.000,1,100000002,
3,,Filament,47.000,1,100000002,
4,,Filament,48.000,1,100000002,
5,,Filament,49.000,1,100000002,
5,,Filament,50.000,1,100000002,
6,,Filament,51.000,1,100000002,
6,,Filament,52.000,1,100000002,
6,,Filament,53.000,1,100000002,
4,,Filament,54.000,1,100000002,
5,,Filament,55.000,1,100000002,
4,,Filament,56.000,1,100000002,
4,,Filament,57.000,1,100000002,
5,,Filament,58.000,1,100000002,
5,,Filament,59.000,1,100000002,
5,,Filament,60.000,1,100000002,
6,,Filament,61.000,1,100000002,
6,,Filament,62.000,1,100000002,
6,,Filament,63.000,1,100000002,
7,,Filament,64.000,1,100000002,
9,,Filament,65.000,1,100000002,
7,,Filament,66.000,1,100000002,
4,,Filament,67.000,1,100000002,
5,,Filament,68.000,1,100000002,
6,,Filament,69.000,1,100000002,
5,,Filament,70.000,1,100000002,
4,,Filament,71.000,1,100000002,
1,,Filament,72.000,1,100000002,
0,,Filament,73.000,1,100000002,
